time_id,date,day,month,quarter,year
1,2024-01-01,1,1,1,2024
2,2024-01-02,2,1,1,2024
3,2024-01-03,3,1,1,2024
4,2024-01-04,4,1,1,2024
5,2024-01-05,5,1,1,2024
6,2024-01-06,6,1,1,2024
7,2024-01-07,7,1,1,2024
8,2024-01-08,8,1,1,2024
9,2024-01-09,9,1,1,2024
10,2024-01-10,10,1,1,2024
11,2024-01-11,11,1,1,2024
12,2024-01-12,12,1,1,2024
13,2024-01-13,13,1,1,2024
14,2024-01-14,14,1,1,2024
15,2024-01-15,15,1,1,2024
16,2024-01-16,16,1,1,2024
17,2024-01-17,17,1,1,2024
18,2024-01-18,18,1,1,2024
19,2024-01-19,19,1,1,2024
20,2024-01-20,20,1,1,2024
21,2024-01-21,21,1,1,2024
22,2024-01-22,22,1,1,2024
23,2024-01-23,23,1,1,2024
24,2024-01-24,24,1,1,2024
25,2024-01-25,25,1,1,2024
26,2024-01-26,26,1,1,2024
27,2024-01-27,27,1,1,2024
28,2024-01-28,28,1,1,2024
29,2024-01-29,29,1,1,2024
30,2024-01-30,30,1,1,2024
31,2024-01-31,31,1,1,2024
32,2024-02-01,1,2,1,2024
33,2024-02-02,2,2,1,2024
34,2024-02-03,3,2,1,2024
35,2024-02-04,4,2,1,2024
36,2024-02-05,5,2,1,2024
37,2024-02-06,6,2,1,2024
38,2024-02-07,7,2,1,2024
39,2024-02-08,8,2,1,2024
40,2024-02-09,9,2,1,2024
41,2024-02-10,10,2,1,2024
42,2024-02-11,11,2,1,2024
43,2024-02-12,12,2,1,2024
44,2024-02-13,13,2,1,2024
45,2024-02-14,14,2,1,2024
46,2024-02-15,15,2,1,2024
47,2024-02-16,16,2,1,2024
48,2024-02-17,17,2,1,2024
49,2024-02-18,18,2,1,2024
50,2024-02-19,19,2,1,2024
51,2024-02-20,20,2,1,2024
52,2024-02-21,21,2,1,2024
53,2024-02-22,22,2,1,2024
54,2024-02-23,23,2,1,2024
55,2024-02-24,24,2,1,2024
56,2024-02-25,25,2,1,2024
57,2024-02-26,26,2,1,2024
